drug_name	drug_id	ind_name	ind_id	NCT	status	phase	DetailedStatus	label	functional_failure	doid_code	doid_name
Balsalazide	DB01014	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
Cortisone acetate	DB01380	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
golimumab	DB06674	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
Vedolizumab	DB09033	Ulcerative Colitis	C0009324		Approved			1		DOID:8577	ulcerative colitis
L-Carnitine	DB00583	Ulcerative Colitis	C0009324	NCT01538251	Terminated	Phase 3	Evidence of very low probability to success. No safety issues.	0	True	DOID:8577	ulcerative colitis
L-Carnitine	DB00583	Ulcerative Colitis	C0009324	NCT01567956	Terminated	Phase 3	Evidence of very low probability to success. No safety issues	0	True	DOID:8577	ulcerative colitis
Interferon beta-1a	DB00060	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			1		DOID:2377	multiple sclerosis
Interferon beta-1b	DB00068	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			1		DOID:2377	multiple sclerosis
Alemtuzumab	DB00087	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			1		DOID:2377	multiple sclerosis
Daclizumab	DB00111	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			1		DOID:2377	multiple sclerosis
Mitoxantrone	DB01204	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			1		DOID:2377	multiple sclerosis
Fingolimod	DB08868	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			1		DOID:2377	multiple sclerosis
Dimethyl fumarate	DB08908	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			1		DOID:2377	multiple sclerosis
Peginterferon beta-1a	DB09122	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			1		DOID:2377	multiple sclerosis
Natalizumab	DB00108	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Betamethasone	DB00443	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Triamcinolone	DB00620	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Prednisone	DB00635	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Hydrocortisone	DB00741	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Prednisolone	DB00860	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Methylprednisolone	DB00959	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Dexamethasone	DB01234	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Cortisone acetate	DB01380	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Glatiramer Acetate	DB05259	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Dalfampridine	DB06637	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Teriflunomide	DB08880	Multiple Sclerosis	C0026769		Approved			1		DOID:2377	multiple sclerosis
Dimethyl fumarate	DB08908	Multiple Sclerosis	C0026769	NCT02428231	Terminated	Phase 3	Sponsor decision	0	True	DOID:2377	multiple sclerosis
Bevacizumab	DB00112	Cervix carcinoma	C0302592		Approved			1		DOID:4362	cervical cancer
Bevacizumab	DB00112	Malignant neoplasm of fallopian tube	C0153579		Approved			1		DOID:1964	fallopian tube cancer
L-Serine	DB00133	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Betaxolol	DB00195	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Travoprost	DB00287	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Timolol	DB00373	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Carbachol	DB00411	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Dipivefrin	DB00449	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Brimonidine	DB00484	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Carteolol	DB00521	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Clonidine	DB00575	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Latanoprost	DB00654	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Epinephrine	DB00668	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Methazolamide	DB00703	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Acetazolamide	DB00819	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Dorzolamide	DB00869	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Bimatoprost	DB00905	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Apraclonidine	DB00964	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Physostigmine	DB00981	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Echothiophate	DB01057	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Pilocarpine	DB01085	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Diclofenamide	DB01144	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Brinzolamide	DB01194	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Levobunolol	DB01210	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Metipranolol	DB01214	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Paclitaxel	DB01229	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Unoprostone	DB06826	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Tafluprost	DB08819	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Levobetaxolol	DB09351	Glaucoma, Open-Angle	C0017612		Approved			1		DOID:1686	glaucoma
Xanthophyll	DB00137	Age related macular degeneration	C0242383		Approved			1		DOID:10871	age related macular degeneration
Ergocalciferol	DB00153	Osteoporosis	C0029456		Approved			1		DOID:11476	osteoporosis
Cholecalciferol	DB00169	Osteoporosis	C0029456		Approved			1		DOID:11476	osteoporosis
Zoledronic acid	DB00399	Osteoporosis	C0029456		Approved			1		DOID:11476	osteoporosis
Risedronate	DB00884	Osteoporosis	C0029456		Approved			1		DOID:11476	osteoporosis
Phylloquinone	DB01022	Osteoporosis	C0029456		Approved			1		DOID:11476	osteoporosis
Magnesium oxide	DB01377	Osteoporosis	C0029456		Approved			1		DOID:11476	osteoporosis
Incadronic acid	DB06255	Osteoporosis	C0029456		Approved			1		DOID:11476	osteoporosis
Denosumab	DB06643	Osteoporosis	C0029456		Approved			1		DOID:11476	osteoporosis
Valsartan	DB00177	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Ramipril	DB00178	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Betaxolol	DB00195	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Reserpine	DB00206	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Torasemide	DB00214	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Guanadrel	DB00226	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Methyclothiazide	DB00232	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Metoprolol	DB00264	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Isradipine	DB00270	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Olmesartan	DB00275	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Chlorthalidone	DB00310	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Nitroprusside	DB00325	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Atenolol	DB00335	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Diltiazem	DB00343	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Minoxidil	DB00350	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Timolol	DB00373	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Amlodipine	DB00381	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Triamterene	DB00384	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Nisoldipine	DB00401	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Spironolactone	DB00421	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Bendroflumethiazide	DB00436	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Prazosin	DB00457	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Fosinopril	DB00492	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Trandolapril	DB00519	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Carteolol	DB00521	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Metolazone	DB00524	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Lercanidipine	DB00528	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Benazepril	DB00542	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Propranolol	DB00571	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Clonidine	DB00575	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Enalapril	DB00584	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Doxazosin	DB00590	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Amiloride	DB00594	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Labetalol	DB00598	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Bisoprolol	DB00612	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Nicardipine	DB00622	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Guanabenz	DB00629	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Mecamylamine	DB00657	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Verapamil	DB00661	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Losartan	DB00678	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Moexipril	DB00691	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Furosemide	DB00695	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Eplerenone	DB00700	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Lisinopril	DB00722	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Hydroflumethiazide	DB00774	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Perindopril	DB00790	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Candesartan	DB00796	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Indapamide	DB00808	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Eprosartan	DB00876	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Chlorothiazide	DB00880	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Quinapril	DB00881	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Pindolol	DB00960	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Telmisartan	DB00966	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Methyldopa	DB00968	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Isotretinoin	DB00982	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Hydrochlorothiazide	DB00999	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Guanfacine	DB01018	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Trichlormethiazide	DB01021	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Felodipine	DB01023	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Irbesartan	DB01029	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Atorvastatin	DB01076	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Nifedipine	DB01115	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Carvedilol	DB01136	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Terazosin	DB01162	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Guanethidine	DB01170	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Acebutolol	DB01193	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Captopril	DB01197	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Nadolol	DB01203	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Paclitaxel	DB01229	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Hydralazine	DB01275	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Polythiazide	DB01324	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Cilazapril	DB01340	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Spirapril	DB01348	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Tasosartan	DB01349	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Penbutolol	DB01359	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Oxprenolol	DB01580	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Pargyline	DB01626	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Celiprolol	DB04846	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Nebivolol	DB04861	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Clevidipine	DB04920	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Bupranolol	DB08808	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Azilsartan medoxomil	DB08822	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Aliskiren	DB09026	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Aranidipine	DB09229	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Azelnidipine	DB09230	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Efonidipine	DB09235	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Fimasartan	DB09279	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Enalaprilat	DB09477	Hypertensive disease	C0020538		Approved			1		DOID:10763	hypertension
Etomidate	DB00292	Hypertensive disease	C0020538	NCT01248234	Withdrawn	Phase 3	Did not begin	0	True	DOID:10763	hypertension
Propofol	DB00818	Hypertensive disease	C0020538	NCT01248234	Withdrawn	Phase 3	Did not begin	0	True	DOID:10763	hypertension
Amphetamine	DB00182	Obesity	C0028754		Approved			1		DOID:9970	obesity
Phentermine	DB00191	Obesity	C0028754		Approved			1		DOID:9970	obesity
Mazindol	DB00579	Obesity	C0028754		Approved			1		DOID:9970	obesity
Naltrexone	DB00704	Obesity	C0028754		Approved			1		DOID:9970	obesity
Phenmetrazine	DB00830	Obesity	C0028754		Approved			1		DOID:9970	obesity
Benzphetamine	DB00865	Obesity	C0028754		Approved			1		DOID:9970	obesity
Diethylpropion	DB00937	Obesity	C0028754		Approved			1		DOID:9970	obesity
Orlistat	DB01083	Obesity	C0028754		Approved			1		DOID:9970	obesity
Sibutramine	DB01105	Obesity	C0028754		Approved			1		DOID:9970	obesity
Bupropion	DB01156	Obesity	C0028754		Approved			1		DOID:9970	obesity
Dexfenfluramine	DB01191	Obesity	C0028754		Approved			1		DOID:9970	obesity
Fenproporex	DB01550	Obesity	C0028754		Approved			1		DOID:9970	obesity
Methamphetamine	DB01577	Obesity	C0028754		Approved			1		DOID:9970	obesity
Phendimetrazine	DB01579	Obesity	C0028754		Approved			1		DOID:9970	obesity
Lorcaserin	DB04871	Obesity	C0028754		Approved			1		DOID:9970	obesity
Rimonabant	DB06155	Obesity	C0028754		Approved			1		DOID:9970	obesity
Topiramate	DB00273	Obesity	C0028754	NCT00231634	Terminated	Phase 3	Program discontinued	0	True	DOID:9970	obesity
Topiramate	DB00273	Obesity	C0028754	NCT00231621	Terminated	Phase 3	The study was terminated prior to completion to focus on the development of a controlled    release formulation.	0	True	DOID:9970	obesity
Metoprolol	DB00264	Obesity	C0028754	NCT00993421	Terminated	Phase 2	Clinical trial terminated due to results from recent nonclinical studies	0	True	DOID:9970	obesity
Amphetamine	DB00182	Narcolepsy	C0027404		Approved			1		DOID:8986	narcolepsy
Methylphenidate	DB00422	Narcolepsy	C0027404		Approved			1		DOID:8986	narcolepsy
Modafinil	DB00745	Narcolepsy	C0027404		Approved			1		DOID:8986	narcolepsy
Gamma Hydroxybutyric Acid	DB01440	Narcolepsy	C0027404		Approved			1		DOID:8986	narcolepsy
Dextroamphetamine	DB01576	Narcolepsy	C0027404		Approved			1		DOID:8986	narcolepsy
Armodafinil	DB06413	Narcolepsy	C0027404		Approved			1		DOID:8986	narcolepsy
Sodium oxybate	DB09072	Narcolepsy	C0027404		Approved			1		DOID:8986	narcolepsy
Nicotine	DB00184	Nicotine Dependence	C0028043		Approved			1		DOID:0050742	nicotine dependence
Bupropion	DB01156	Nicotine Dependence	C0028043		Approved			1		DOID:0050742	nicotine dependence
Lorazepam	DB00186	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Valproic Acid	DB00313	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Trimethadione	DB00347	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Ethosuximide	DB00593	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Paramethadione	DB00617	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Acetazolamide	DB00819	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Phensuximide	DB00832	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Clonazepam	DB01068	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Methsuximide	DB05246	Absence Epilepsy	C0014553		Approved			1		DOID:1826	epilepsy syndrome
Lorazepam	DB00186	Epilepsies, Myoclonic	C0014550		Approved			1		DOID:1826	epilepsy syndrome
Clonazepam	DB01068	Epilepsies, Myoclonic	C0014550		Approved			1		DOID:1826	epilepsy syndrome
Nitrazepam	DB01595	Epilepsies, Myoclonic	C0014550		Approved			1		DOID:1826	epilepsy syndrome
Stiripentol	DB09118	Epilepsies, Myoclonic	C0014550		Approved			1		DOID:1826	epilepsy syndrome
Lorazepam	DB00186	Status Epilepticus	C0038220		Approved			1		DOID:1826	epilepsy syndrome
Phenytoin	DB00252	Status Epilepticus	C0038220		Approved			1		DOID:1826	epilepsy syndrome
Pentobarbital	DB00312	Status Epilepticus	C0038220		Approved			1		DOID:1826	epilepsy syndrome
Secobarbital	DB00418	Status Epilepticus	C0038220		Approved			1		DOID:1826	epilepsy syndrome
Diazepam	DB00829	Status Epilepticus	C0038220		Approved			1		DOID:1826	epilepsy syndrome
Fosphenytoin	DB01320	Status Epilepticus	C0038220		Approved			1		DOID:1826	epilepsy syndrome
Amobarbital	DB01351	Status Epilepticus	C0038220		Approved			1		DOID:1826	epilepsy syndrome
Lorazepam	DB00186	Panic Disorder	C0030319		Approved			1		DOID:594	panic disorder
Venlafaxine	DB00285	Panic Disorder	C0030319		Approved			1		DOID:594	panic disorder
Alprazolam	DB00404	Panic Disorder	C0030319		Approved			1		DOID:594	panic disorder
Fluoxetine	DB00472	Panic Disorder	C0030319		Approved			1		DOID:594	panic disorder
Paroxetine	DB00715	Panic Disorder	C0030319		Approved			1		DOID:594	panic disorder
Clonazepam	DB01068	Panic Disorder	C0030319		Approved			1		DOID:594	panic disorder
Sertraline	DB01104	Panic Disorder	C0030319		Approved			1		DOID:594	panic disorder
Bortezomib	DB00188	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Carmustine	DB00262	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Lenalidomide	DB00480	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Cyclophosphamide	DB00531	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Doxorubicin	DB00997	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Thalidomide	DB01041	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Melphalan	DB01042	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Dexamethasone	DB01234	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Elotuzumab	DB06317	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Panobinostat	DB06603	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Plerixafor	DB06809	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Carfilzomib	DB08889	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Pomalidomide	DB08910	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Daratumumab	DB09331	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Ixazomib	DB09570	Multiple Myeloma	C0026764		Approved			1		DOID:2531	hematologic cancer
Clofarabine	DB00631	Multiple Myeloma	C0026764	NCT00241371	Terminated	Phase 2	No response seen in patients	0	True	DOID:2531	hematologic cancer
Azacitidine	DB00928	Multiple Myeloma	C0026764	NCT00412919	Terminated	Phase 2	Lack of efficacy	0	True	DOID:2531	hematologic cancer
Belinostat	DB05015	Multiple Myeloma	C0026764	NCT00431340	Terminated	Phase 2	Terminated due to dose limiting toxicity	0	True	DOID:2531	hematologic cancer
Vincristine	DB00541	Multiple Myeloma	C0026764	NCT00441168	Terminated	Phase 2	TRIAL STOPPED due to a change in standard of care and the required patient numbers could no    longer be achieved	0	True	DOID:2531	hematologic cancer
Clofarabine	DB00631	Multiple Myeloma	C0026764	NCT00626626	Terminated	Phase 1/Phase 2	Investigator decision	0	True	DOID:2531	hematologic cancer
Vitamin C	DB00126	Multiple Myeloma	C0026764	NCT01125449	Suspended	Phase 2	Awaiting response from FDA as to status of parenteral ascorbic acid manufactured by Bioniche    (Ireland).	0	True	DOID:2531	hematologic cancer
Sirolimus	DB00877	Multiple Myeloma	C0026764	NCT01234974	Withdrawn	Phase 2	Study never undertaken	0	True	DOID:2531	hematologic cancer
Everolimus	DB01590	Multiple Myeloma	C0026764	NCT01234974	Withdrawn	Phase 2	Study never undertaken	0	True	DOID:2531	hematologic cancer
Pegfilgrastim	DB00019	Multiple Myeloma	C0026764	NCT01537861	Terminated	Phase 0	Unexpected toxicity (2 early deaths)	0	True	DOID:2531	hematologic cancer
Etoposide	DB00773	Multiple Myeloma	C0026764	NCT01653418	Terminated	Phase 2	Due to the high rate of morbidity and mortality	0	True	DOID:2531	hematologic cancer
Cytarabine	DB00987	Multiple Myeloma	C0026764	NCT01653418	Terminated	Phase 2	Due to the high rate of morbidity and mortality	0	True	DOID:2531	hematologic cancer
Carbidopa	DB00190	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Benzatropine	DB00245	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Ropinirole	DB00268	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Tolcapone	DB00323	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Norepinephrine	DB00368	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Trihexyphenidyl	DB00376	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Procyclidine	DB00387	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Pramipexole	DB00413	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Entacapone	DB00494	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Apomorphine	DB00714	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Biperiden	DB00810	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Amantadine	DB00915	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Cycrimine	DB00942	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Dopamine	DB00988	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Selegiline	DB01037	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Bromocriptine	DB01200	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Levodopa	DB01235	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Rasagiline	DB01367	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Rotigotine	DB05271	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Droxidopa	DB06262	Parkinson Disease	C0030567		Approved			1		DOID:14330	Parkinson's disease
Betaxolol	DB00195	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Travoprost	DB00287	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Timolol	DB00373	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Brimonidine	DB00484	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Carteolol	DB00521	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Latanoprost	DB00654	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Mannitol	DB00742	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Dorzolamide	DB00869	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Bimatoprost	DB00905	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Pilocarpine	DB01085	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Brinzolamide	DB01194	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Levobunolol	DB01210	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Metipranolol	DB01214	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Paclitaxel	DB01229	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Unoprostone	DB06826	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Tafluprost	DB08819	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Levobetaxolol	DB09351	Ocular Hypertension	C0028840		Approved			1		DOID:1686	glaucoma
Caffeine	DB00201	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Eletriptan	DB00216	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Zolmitriptan	DB00315	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Acetaminophen	DB00316	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Dihydroergotamine	DB00320	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Lisuride	DB00589	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Sumatriptan	DB00669	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Ergotamine	DB00696	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Naproxen	DB00788	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Almotriptan	DB00918	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
Salicylic acid	DB00936	Migraine Disorders	C0149931		Approved			1		DOID:6364	migraine
